species,taxid,accession,hit_subject,identity,query_coverage,alignment_length,e_value,bitscore
Macrosiphum sp. BOLD-2016,1889697,KR577906,"Macrosiphum sp. BOLD-2016 voucher BIOUG09175-B08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.981,0.96,573,0.0,548.0
Macrosiphum sp. BOLD-2016,1889697,KR561551,"Macrosiphum sp. BOLD-2016 voucher BIOUG09174-B06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.98,0.988,590,0.0,563.0
Macrosiphum euphorbiae,13131,KF639474,"Macrosiphum euphorbiae voucher INRA CBGP ACOE1129/chasses1129-ACDA cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.978,1.0,597,0.0,566.0
Macrosiphum cholodkovskyi,994498,KF639471,"Macrosiphum cholodkovskyi voucher INRA CBGP ACOE410/chasses410-ACDA cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.977,1.0,597,0.0,563.0
Macrosiphum sp. BIOUG09180-F06,2473015,MG508729,"Macrosiphum sp. BIOUG09180-F06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.977,0.961,574,0.0,546.0
Macrosiphum sp. BOLD-2016,1889697,KR561411,"Macrosiphum sp. BOLD-2016 voucher BIOUG09173-C03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.977,0.961,574,0.0,546.0
Macrosiphum sp. BOLD-2016,1889697,KR571940,"Macrosiphum sp. BOLD-2016 voucher BIOUG09178-C08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.977,0.961,574,0.0,544.0
Macrosiphum sp. BOLD-2016,1889697,KR583887,"Macrosiphum sp. BOLD-2016 voucher BIOUG09180-C05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.977,0.961,574,0.0,543.0
Macrosiphum sp. BOLD-2016,1889697,KR568678,"Macrosiphum sp. BOLD-2016 voucher BIOUG09179-H05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.977,0.961,574,0.0,543.0
Macrosiphum sp. BOLD-2016,1889697,KR567106,"Macrosiphum sp. BOLD-2016 voucher BIOUG09173-D02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.977,0.886,529,0.0,503.0
Macrosiphum sp. BOLD-2016,1889697,KR564232,"Macrosiphum sp. BOLD-2016 voucher BIOUG09179-H04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.976,0.992,592,0.0,559.0
Macrosiphum sp. BIOUG09174-G05,2473059,MG512740,"Macrosiphum sp. BIOUG09174-G05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.976,0.961,574,0.0,543.0
Macrosiphum sp. BOLD-2016,1889697,KR582949,"Macrosiphum sp. BOLD-2016 voucher BIOUG09179-B11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.976,0.961,574,0.0,541.0
Macrosiphum sp. BOLD-2016,1889697,KR563625,"Macrosiphum sp. BOLD-2016 voucher BIOUG09178-E10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.976,0.961,574,0.0,540.0
Macrosiphum sp. BOLD-2016,1889697,KR567662,"Macrosiphum sp. BOLD-2016 voucher BIOUG09079-G11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.976,0.903,539,0.0,507.0
Macrosiphum euphorbiae,13131,KF639482,"Macrosiphum euphorbiae voucher INRA CBGP ACOE1650/chasses1650-ACDA cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
Macrosiphum euphorbiae,13131,MF140509,"Macrosiphum euphorbiae voucher GTB156DN1535 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",0.975,1.0,597,0.0,560.0
